event_id	event_type	avecost	Lscore	CNval	true	length	prevals	orders	numhists
10218.2	oth	-1	0.011543650992	2.0	0	100000	-1,1.0,0.0	-1,5.79220779221,2.20784313667	231
41638.6	oth	-1	0.00014991754535	3.0	0	100000	-1,1.0,0.0	-1,5.0,0.816496580928	3
61143.2	oth	-1	0.0002998350907	4.0	0	100000	-1,1.0,0.0	-1,2.33333333333,0.7453559925	6
20851.5	oth	-1	4.99725151167e-05	5.0	0	100000	-1,1.0,0.0	-1,5.0,0.0	1
41487.8	amp	-1	4.99725151167e-05	2.0	0	100000	-1,1.0,0.0	-1,8.0,0.0	1
100690.5	amp	-1	0.000249862575583	2.0	0	100000	-1,1.0,0.0	-1,6.2,0.748331477355	5
31778.7	amp	-1	4.99725151167e-05	2.0	0	200000	-1,1.0,0.0	-1,7.0,0.0	1
10941.2	oth	-1	0.00144920293838	1.0	0	200000	-1,1.0,0.0	-1,5.68965517241,1.96702906165	29
30758.9	oth	-1	0.00014991754535	2.0	0	200000	-1,1.0,0.0	-1,6.0,2.94392028878	3
10040.8	amp	-1	0.083953825396	1.0	0	200000	-1,1.0,0.0	-1,5.21726190476,2.09927700207	1680
10033.5	amp	-1	0.0672630053471	2.0	0	200000	-1,1.0,0.0	-1,5.04457652303,2.23263073003	1346
41417.6	amp	-1	0.000199890060467	4.0	0	200000	-1,1.0,0.0	-1,3.75,2.27760839479	4
11127.2	amp	-1	0.000849532756984	5.0	0	200000	-1,1.0,0.0	-1,3.47058823529,1.64915832575	17
21205.3	amp	-1	0.00014991754535	6.0	0	200000	-1,1.0,0.0	-1,3.66666666667,0.942809041582	3
10869.6	amp	-1	0.00114936784768	1.0	0	200000	-1,1.0,0.0	-1,6.0,1.53226175537	23
10870.9	amp	-1	0.000199890060467	2.0	0	200000	-1,1.0,0.0	-1,9.0,0.0	4
30487.6	oth	-1	0.00109939533257	1.0	0	200000	-1,1.0,0.0	-1,5.77272727273,2.19362336582	22
30512.8	oth	-1	9.99450302334e-05	2.0	0	200000	-1,1.0,0.0	-1,6.5,1.5	2
10048.5	amp	-1	0.097196541902	1.0	0	200000	-1,1.0,0.0	-1,5.14755784062,2.15404812894	1945
10047.4	amp	-1	0.181400229874	2.0	0	200000	-1,1.0,0.0	-1,5.08071625344,2.31460509205	3630
10209.4	amp	-1	0.00574683923842	3.0	0	200000	-1,1.0,0.0	-1,3.82608695652,1.93934488968	115
10838.2	amp	-1	0.000249862575583	4.0	0	200000	-1,1.0,0.0	-1,3.8,1.16619037897	5
10543.2	amp	-1	0.00174903802908	5.0	0	200000	-1,1.0,0.0	-1,4.22857142857,1.91364594853	35
90339.5	amp	-1	4.99725151167e-05	6.0	0	200000	-1,1.0,0.0	-1,5.0,0.0	1
20368.8	oth	-1	0.00014991754535	1.0	0	200000	-1,1.0,0.0	-1,8.0,0.0	3
30502.7	amp	-1	0.00014991754535	1.0	0	200000	-1,1.0,0.0	-1,7.33333333333,0.471404520791	3
51784.8	oth	-1	4.99725151167e-05	1.0	0	200000	-1,1.0,0.0	-1,8.0,0.0	1
11609.4	oth	-1	4.99725151167e-05	2.0	0	200000	-1,1.0,0.0	-1,4.0,0.0	1
10053.6	amp	-1	0.00624656438959	1.0	0	200000	-1,1.0,0.0	-1,4.92,2.04587389641	125
